net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
_269_,648,-1,1,7.410709784373595e-16,1.0660799025789987e-16,0.05399317271076143,23.76268196105957
_270_,1080,-1,1,6.921430731512805e-16,1.577310343663476e-16,0.03158870473271236,36.6551628112793
_271_,810,-1,1,7.457295537681397e-16,1.1126656558868011e-16,0.03554348756188119,29.001222610473633
_272_,954,-1,1,6.959388395461638e-16,1.6152680076123092e-16,0.029307360436177987,34.71059799194336
_273_,990,-1,1,1.804493368083907e-15,1.5230340605901964e-16,0.06334887212142348,35.978633880615234
_274_,270,-1,1,6.907817853259244e-16,5.63187971464648e-17,0.026345106191001832,12.106242179870605
_275_,738,-1,1,6.345634674628277e-16,1.0015142867789476e-16,0.0444104119669646,26.861921310424805
_276_,270,-1,1,6.855550626457734e-16,3.706505004110491e-17,0.024333151057362556,9.683531761169434
_277_,72,-1,1,1.6643594961363267e-15,1.2169534111439347e-17,0.0,3.800457000732422
_278_,3870,-1,2,2.2536090832012134e-15,4.909730128761802e-16,0.17978093668352813,120.9591269493103
_279_,1944,-1,1,1.7053795018268396e-15,3.264894847938805e-16,0.14387765940045938,49.95454788208008
_280_,450,-1,1,6.207044731985304e-16,6.454046950942947e-17,0.01074906752910465,17.20307731628418
_281_,468,-1,1,1.4521069097189103e-15,7.321689268595128e-17,0.005991279147565365,17.312786102294922
_283_,378,-1,1,6.729228367868963e-16,3.6601828898075216e-17,0.0016476372256875038,14.585634231567383
_284_,504,-1,1,1.1354601595303616e-15,5.65401903830534e-17,0.0023621998261660337,18.949256896972656
_285_,522,-1,1,1.444994903456408e-15,6.610488642344895e-17,0.0032952744513750076,19.05896759033203
_286_,450,-1,1,6.832507624523272e-16,4.6929754563506103e-17,0.01068330928683281,17.2597599029541
_287_,486,-1,1,1.158845468654632e-15,7.992549950732375e-17,0.017487988428911194,17.989316940307617
_288_,738,-1,1,1.4904832197019241e-15,1.1159320266896505e-16,0.056331006227992475,26.805240631103516
_289_,450,-1,1,6.987838643973134e-16,6.246285650849228e-17,0.007715618936344981,16.919666290283203
_290_,486,-1,1,1.1586321222310423e-15,7.971215308373407e-17,0.034199136309325695,18.524141311645508
_291_,414,-1,1,1.4716966642065342e-15,9.280664717357511e-17,0.07249819627031684,15.850016593933105
_294_,306,-1,1,6.735165010038032e-16,3.7195493114982074e-17,0.0014416740741580725,12.754430770874023
