src,tar,src_type,tar_type,is_net,arc_delay
_450_/A,_450_/Y,pin,pin,0,4.6913868623210675e-11
_450_/B,_450_/Y,pin,pin,0,3.642126183978078e-11
_452_/A1,_452_/Y,pin,pin,0,7.806476819138819e-12
_452_/A2,_452_/Y,pin,pin,0,1.1773693998906598e-11
_452_/B,_452_/Y,pin,pin,0,1.1485304894642834e-11
_453_/A,_453_/Y,pin,pin,0,1.8283621144865592e-11
_454_/A1,_454_/Y,pin,pin,0,2.822245562250636e-11
_454_/A2,_454_/Y,pin,pin,0,3.535227666162655e-11
_454_/B,_454_/Y,pin,pin,0,2.5726020272398564e-11
_454_/C,_454_/Y,pin,pin,0,3.169759593690813e-11
_455_/A,_455_/Y,pin,pin,0,6.524173996186322e-12
_456_/A1,_456_/Y,pin,pin,0,1.716472450286055e-11
_456_/A2,_456_/Y,pin,pin,0,1.6972749594668102e-11
_456_/B,_456_/Y,pin,pin,0,1.5361635574695498e-11
_457_/A,_457_/Y,pin,pin,0,1.0342847238387076e-11
_458_/A,_458_/Y,pin,pin,0,1.3403581196336223e-11
_459_/A,_459_/Y,pin,pin,0,1.2558125546402454e-11
_460_/A,_460_/Y,pin,pin,0,1.2872088811510807e-11
_461_/A,_461_/Y,pin,pin,0,1.2722063853776167e-11
_462_/A,_462_/Y,pin,pin,0,9.642186354907878e-12
_463_/A,_463_/Y,pin,pin,0,1.2826717118996633e-11
_464_/A,_464_/Y,pin,pin,0,1.280349524318547e-11
_465_/A,_465_/Y,pin,pin,0,1.639735743019788e-11
_466_/A,_466_/Y,pin,pin,0,1.1071135327944681e-11
_467_/A,_467_/Y,pin,pin,0,1.4660925251597234e-11
_468_/A,_468_/Y,pin,pin,0,1.0905536022842721e-11
_469_/A,_469_/Y,pin,pin,0,1.268961585115802e-11
_470_/A,_470_/Y,pin,pin,0,1.2314672719060393e-11
_471_/A,_471_/Y,pin,pin,0,1.2187518355633031e-11
_472_/A,_472_/Y,pin,pin,0,3.198051545805214e-11
_472_/B,_472_/Y,pin,pin,0,1.6384534354263458e-11
_473_/A,_473_/Y,pin,pin,0,4.274712181451257e-11
_473_/B,_473_/Y,pin,pin,0,3.740113427297409e-11
_475_/A,_475_/Y,pin,pin,0,1.2487800724048093e-11
_475_/B,_475_/Y,pin,pin,0,2.307720507743749e-11
_475_/C,_475_/Y,pin,pin,0,2.1690914689398433e-11
_476_/A,_476_/Y,pin,pin,0,4.02528219090037e-11
_476_/B,_476_/Y,pin,pin,0,2.6117342663556364e-11
_477_/A1,_477_/Y,pin,pin,0,2.7922464687635262e-11
_477_/A2,_477_/Y,pin,pin,0,3.50717718755611e-11
_477_/B,_477_/Y,pin,pin,0,2.8014866468306643e-11
_477_/C,_477_/Y,pin,pin,0,4.129139391517711e-11
_479_/A1,_479_/Y,pin,pin,0,2.698747128548895e-11
_479_/A2,_479_/Y,pin,pin,0,1.3783836051717291e-11
_479_/B,_479_/Y,pin,pin,0,2.0668066216811276e-11
_480_/A1,_480_/Y,pin,pin,0,3.702041798114841e-11
_480_/A2,_480_/Y,pin,pin,0,2.9351836933200204e-11
_480_/A3,_480_/Y,pin,pin,0,3.152890448721024e-11
_480_/B1,_480_/Y,pin,pin,0,2.705265352009878e-11
_480_/B2,_480_/Y,pin,pin,0,2.5005574000314112e-11
_480_/B3,_480_/Y,pin,pin,0,2.4217620964162023e-11
_481_/A,_481_/Y,pin,pin,0,1.2557210479768877e-11
_481_/B,_481_/Y,pin,pin,0,2.334057079556029e-11
_481_/C,_481_/Y,pin,pin,0,2.1514574843894962e-11
_482_/A1,_482_/Y,pin,pin,0,2.7762315016333083e-11
_482_/A2,_482_/Y,pin,pin,0,1.4151068337964201e-11
_482_/B,_482_/Y,pin,pin,0,2.1140231926120023e-11
_483_/A,_483_/Y,pin,pin,0,1.0287382057327932e-11
_484_/A1,_484_/Y,pin,pin,0,8.448174451669566e-12
_484_/A2,_484_/Y,pin,pin,0,7.909405769224165e-12
_484_/B,_484_/Y,pin,pin,0,7.138448252647089e-12
_485_/A1,_485_/Y,pin,pin,0,9.182161975207492e-12
_485_/A2,_485_/Y,pin,pin,0,1.4990520977309352e-11
_485_/B,_485_/Y,pin,pin,0,1.2910051500059083e-11
_486_/A,_486_/Y,pin,pin,0,7.874910792904366e-12
_486_/B,_486_/Y,pin,pin,0,9.823205616987796e-12
_486_/C,_486_/Y,pin,pin,0,1.0603600462955054e-11
_487_/A,_487_/Y,pin,pin,0,9.148197824271342e-12
_488_/A1,_488_/Y,pin,pin,0,3.239433721269336e-11
_488_/A2,_488_/Y,pin,pin,0,3.1738046218920957e-11
_488_/B1,_488_/Y,pin,pin,0,3.200670978253939e-11
_488_/B2,_488_/Y,pin,pin,0,3.155335714932761e-11
_488_/C,_488_/Y,pin,pin,0,3.194274705853317e-11
