src,tar,src_type,tar_type
_421_/A2,_421_,pin,cell
_421_/B,_421_,pin,cell
_421_,_421_/Y,cell,pin
_422_/A1,_422_,pin,cell
_422_/A2,_422_,pin,cell
_422_/B,_422_,pin,cell
_422_,_422_/Y,cell,pin
_423_/A1,_423_,pin,cell
_423_/A2,_423_,pin,cell
_423_/B,_423_,pin,cell
_423_,_423_/Y,cell,pin
_424_/A,_424_,pin,cell
_424_,_424_/Y,cell,pin
_426_/A,_426_,pin,cell
_426_/B,_426_,pin,cell
_426_,_426_/Y,cell,pin
_427_/A1,_427_,pin,cell
_427_/A2,_427_,pin,cell
_427_/B,_427_,pin,cell
_427_,_427_/Y,cell,pin
_428_/A1,_428_,pin,cell
_428_/A2,_428_,pin,cell
_428_/B,_428_,pin,cell
_428_,_428_/Y,cell,pin
_429_/A1,_429_,pin,cell
_429_/A2,_429_,pin,cell
_429_/B,_429_,pin,cell
_429_,_429_/Y,cell,pin
_430_/A,_430_,pin,cell
_430_/B,_430_,pin,cell
_430_,_430_/Y,cell,pin
_431_/A1,_431_,pin,cell
_431_/A2,_431_,pin,cell
_431_/B,_431_,pin,cell
_431_,_431_/Y,cell,pin
_432_/A1,_432_,pin,cell
_432_/A2,_432_,pin,cell
_432_/B,_432_,pin,cell
_432_,_432_/Y,cell,pin
_433_/A1,_433_,pin,cell
_433_/A2,_433_,pin,cell
_433_/B,_433_,pin,cell
_433_,_433_/Y,cell,pin
_434_/A,_434_,pin,cell
_434_/B,_434_,pin,cell
_434_,_434_/Y,cell,pin
_435_/A1,_435_,pin,cell
_435_/A2,_435_,pin,cell
_435_/B1,_435_,pin,cell
_435_/B2,_435_,pin,cell
_435_,_435_/Y,cell,pin
_436_/A1,_436_,pin,cell
_436_/A2,_436_,pin,cell
_436_/B,_436_,pin,cell
_436_/C,_436_,pin,cell
_436_,_436_/Y,cell,pin
_439_/A,_439_,pin,cell
_439_/B,_439_,pin,cell
_439_/C,_439_,pin,cell
_439_/D,_439_,pin,cell
_439_,_439_/Y,cell,pin
_440_/A,_440_,pin,cell
_440_/B,_440_,pin,cell
_440_/C,_440_,pin,cell
_440_/D,_440_,pin,cell
_440_/E,_440_,pin,cell
_440_,_440_/Y,cell,pin
_441_/A,_441_,pin,cell
_441_/B,_441_,pin,cell
_441_/C,_441_,pin,cell
_441_/D,_441_,pin,cell
_441_,_441_/Y,cell,pin
_442_/A,_442_,pin,cell
_442_/B,_442_,pin,cell
_442_/C,_442_,pin,cell
_442_/D,_442_,pin,cell
_442_,_442_/Y,cell,pin
_443_/A,_443_,pin,cell
_443_/B,_443_,pin,cell
_443_/C,_443_,pin,cell
_443_,_443_/Y,cell,pin
